Crop,Variety,State,Season,Year,Quantity,Production,Unit,Cost,Recommended_Zone
Sugarcane,Hybrid,Andhra Pradesh,Rabi,2012,76.16,78.71,Tons,141153.96,Andhra Pradesh
Sugarcane,Organic,Madhya Pradesh,Zaid,2006,50.95,57.34,Tons,92187.79,Madhya Pradesh
Cotton,Hybrid,Haryana,Rabi,2003,16.9,14.08,Tons,40888.33,Haryana
Wheat,High Yield,Karnataka,Zaid,2008,28.82,34.41,Tons,57064.89,Karnataka
Sugarcane,Standard,Rajasthan,Zaid,2009,52.3,43.17,Tons,108213.92,Rajasthan
Oilseeds,High Yield,Uttar Pradesh,Zaid,2001,9.99,11.24,Tons,23616.09,Uttar Pradesh
Sugarcane,Organic,Haryana,Zaid,2005,75.65,86.23,Tons,184943.44,Haryana
Rice,Standard,Karnataka,Rabi,2009,38.68,34.15,Tons,68652.11,Karnataka
Rice,Organic,Punjab,Rabi,2012,50.57,50.98,Tons,109813.52,Punjab
Maize,Hybrid,Uttar Pradesh,Zaid,2002,26.28,21.95,Tons,64853.36,Uttar Pradesh
Oilseeds,Organic,Punjab,Zaid,2007,13.55,15.2,Tons,28979.36,Punjab
Groundnut,Standard,Haryana,Rabi,2006,21.18,20.65,Tons,40080.31,Haryana
Wheat,High Yield,Gujarat,Kharif,2006,41.78,43.82,Tons,79230.34,Gujarat
Cotton,Hybrid,Punjab,Kharif,2013,15.41,17.07,Tons,36091.03,Punjab
Soybean,Standard,Andhra Pradesh,Kharif,2002,9.98,10.51,Tons,18247.02,Andhra Pradesh
Cotton,Hybrid,Madhya Pradesh,Zaid,2007,7.74,8.17,Tons,12680.81,Madhya Pradesh
Pulses,Hybrid,Gujarat,Kharif,2003,8.73,7.59,Tons,18925.51,Gujarat
Jute,High Yield,Uttar Pradesh,Zaid,2005,18.31,14.88,Tons,33825.61,Uttar Pradesh
Maize,Hybrid,Punjab,Kharif,2009,29.64,29.68,Tons,55250.91,Punjab
Oilseeds,Standard,Rajasthan,Kharif,2009,8.92,10.42,Tons,21172.75,Rajasthan
Rice,High Yield,Rajasthan,Kharif,2008,34.99,35.5,Tons,86999.69,Rajasthan
Pulses,Hybrid,Haryana,Rabi,2010,10.57,11.61,Tons,20738.92,Haryana
Pulses,Organic,Uttar Pradesh,Zaid,2003,8.47,6.88,Tons,19062.33,Uttar Pradesh
Wheat,Organic,Rajasthan,Rabi,2003,30.2,28.71,Tons,53425.31,Rajasthan
Jute,Organic,Tamil Nadu,Kharif,2001,18.41,16.45,Tons,37474.57,Tamil Nadu
Soybean,High Yield,Madhya Pradesh,Rabi,2003,9.9,10.04,Tons,15703.17,Madhya Pradesh
Wheat,Organic,Andhra Pradesh,Kharif,2012,33.73,39.12,Tons,61971.78,Andhra Pradesh
Wheat,Standard,Andhra Pradesh,Zaid,2013,28.89,24.29,Tons,50185.89,Andhra Pradesh
Maize,Standard,Haryana,Zaid,2004,22.65,19.69,Tons,40431.07,Haryana
Groundnut,Organic,Madhya Pradesh,Zaid,2003,9.24,11.08,Tons,20297.96,Madhya Pradesh
Maize,Organic,Maharashtra,Zaid,2004,21.9,19.02,Tons,38502.35,Maharashtra
Cotton,Hybrid,Madhya Pradesh,Rabi,2011,11.8,10.41,Tons,27587.49,Madhya Pradesh
Jute,High Yield,Haryana,Zaid,2004,21.42,23.19,Tons,43474.06,Haryana
Maize,Organic,Karnataka,Rabi,2011,25.98,21.32,Tons,52800.95,Karnataka
Wheat,Organic,Andhra Pradesh,Rabi,2005,39.07,41.95,Tons,66478.18,Andhra Pradesh
Soybean,High Yield,Punjab,Zaid,2005,11.21,11.08,Tons,23496.11,Punjab
Groundnut,High Yield,Uttar Pradesh,Rabi,2001,21.76,18.49,Tons,53648.55,Uttar Pradesh
Pulses,Organic,Madhya Pradesh,Rabi,2012,6.89,7.1,Tons,15441.31,Madhya Pradesh
Pulses,Hybrid,Madhya Pradesh,Kharif,2014,6.47,7.29,Tons,10773.62,Madhya Pradesh
Jute,Standard,Gujarat,Kharif,2013,21.29,20.77,Tons,49320.72,Gujarat
Cotton,Organic,Haryana,Kharif,2007,15.01,17.41,Tons,26004.4,Haryana
Groundnut,Hybrid,Maharashtra,Rabi,2005,15.16,14.74,Tons,30966.89,Maharashtra
Cotton,Standard,Tamil Nadu,Zaid,2008,8.99,9.42,Tons,20621.36,Tamil Nadu
Soybean,High Yield,Tamil Nadu,Zaid,2004,7.52,6.77,Tons,13628.17,Tamil Nadu
Groundnut,Standard,Punjab,Rabi,2004,22.83,25.15,Tons,45517.62,Punjab
Maize,High Yield,Haryana,Kharif,2004,27.76,31.06,Tons,52664.34,Haryana
Sugarcane,Organic,Gujarat,Kharif,2002,80.26,81.63,Tons,176087.42,Gujarat
Sugarcane,Standard,Gujarat,Zaid,2014,58.69,56.9,Tons,101377.97,Gujarat
Jute,Standard,Rajasthan,Kharif,2008,14.96,16.32,Tons,26277.11,Rajasthan
Soybean,High Yield,Gujarat,Kharif,2008,11.68,12.04,Tons,19308.08,Gujarat
Jute,High Yield,Madhya Pradesh,Rabi,2003,17.45,20.32,Tons,40838.86,Madhya Pradesh
Rice,Standard,Karnataka,Kharif,2010,34.42,32.11,Tons,80465.92,Karnataka
Maize,Organic,Tamil Nadu,Zaid,2008,20.36,19.02,Tons,31660.73,Tamil Nadu
Soybean,High Yield,Madhya Pradesh,Kharif,2010,7.96,9.12,Tons,15236.63,Madhya Pradesh
Maize,Organic,Maharashtra,Zaid,2002,21.43,19.06,Tons,41826.28,Maharashtra
Cotton,Hybrid,Haryana,Kharif,2007,14.64,13.83,Tons,35341.67,Haryana
Maize,High Yield,Rajasthan,Rabi,2005,21.12,18.15,Tons,51970.98,Rajasthan
Maize,Hybrid,Haryana,Zaid,2013,25.02,20.68,Tons,52419.12,Haryana
Groundnut,Organic,Uttar Pradesh,Zaid,2008,13.75,14.44,Tons,27061.91,Uttar Pradesh
Pulses,Standard,Uttar Pradesh,Rabi,2001,11.24,11.39,Tons,22786.99,Uttar Pradesh
Rice,Organic,Maharashtra,Rabi,2006,39.45,45.16,Tons,66350.67,Maharashtra
Groundnut,Organic,Uttar Pradesh,Rabi,2010,20.66,16.73,Tons,39425.59,Uttar Pradesh
Wheat,High Yield,Tamil Nadu,Kharif,2008,37.32,32.78,Tons,65455.54,Tamil Nadu
Pulses,Organic,Haryana,Kharif,2005,11.16,12.15,Tons,22957.91,Haryana
Cotton,Standard,Andhra Pradesh,Rabi,2008,14.51,15.48,Tons,27523.71,Andhra Pradesh
Sugarcane,Standard,Tamil Nadu,Rabi,2007,70.8,57.39,Tons,120912.39,Tamil Nadu
Cotton,Standard,Gujarat,Kharif,2012,14.75,13.82,Tons,34193.83,Gujarat
Jute,Organic,Maharashtra,Zaid,2007,14.89,14.35,Tons,31621.58,Maharashtra
Oilseeds,Organic,Maharashtra,Kharif,2012,13.61,11.65,Tons,30817.71,Maharashtra
Jute,Organic,Andhra Pradesh,Zaid,2014,17.44,14.11,Tons,33574.39,Andhra Pradesh
Oilseeds,High Yield,Andhra Pradesh,Rabi,2013,12.24,13.88,Tons,20067.74,Andhra Pradesh
Soybean,High Yield,Rajasthan,Rabi,2013,9.89,11.16,Tons,21583.78,Rajasthan
Sugarcane,Standard,Rajasthan,Kharif,2006,60.47,68.44,Tons,130090.1,Rajasthan
Groundnut,High Yield,Karnataka,Rabi,2006,14.56,15.92,Tons,25726.79,Karnataka
Wheat,Standard,Madhya Pradesh,Kharif,2007,35.42,33.76,Tons,67955.55,Madhya Pradesh
Jute,High Yield,Maharashtra,Rabi,2011,19.25,17.29,Tons,40478.26,Maharashtra
Sugarcane,High Yield,Andhra Pradesh,Zaid,2004,59.72,70.46,Tons,126037.06,Andhra Pradesh
Groundnut,High Yield,Andhra Pradesh,Rabi,2006,16.42,16.68,Tons,29061.21,Andhra Pradesh
Cotton,Standard,Uttar Pradesh,Zaid,2001,13.09,13.74,Tons,21665.11,Uttar Pradesh
Wheat,Hybrid,Karnataka,Kharif,2009,35.53,38.2,Tons,70892.19,Karnataka
Jute,Organic,Madhya Pradesh,Zaid,2003,12.58,14.93,Tons,18893.34,Madhya Pradesh
Maize,Hybrid,Maharashtra,Zaid,2005,21.84,24.38,Tons,53783.52,Maharashtra
Oilseeds,Standard,Tamil Nadu,Kharif,2012,14.33,15.13,Tons,32367.02,Tamil Nadu
Rice,Hybrid,Tamil Nadu,Kharif,2006,46.4,46.2,Tons,81184.36,Tamil Nadu
Jute,Organic,Madhya Pradesh,Kharif,2010,15.54,18.64,Tons,32448.47,Madhya Pradesh
Jute,Organic,Karnataka,Rabi,2010,17.98,16.52,Tons,39504.87,Karnataka
Pulses,High Yield,Maharashtra,Zaid,2007,6.35,7.23,Tons,15000.13,Maharashtra
Wheat,Standard,Rajasthan,Zaid,2001,24.49,20.77,Tons,42363.36,Rajasthan
Wheat,Hybrid,Uttar Pradesh,Kharif,2011,41.26,42.45,Tons,78573.37,Uttar Pradesh
Pulses,High Yield,Punjab,Kharif,2006,11.14,10.82,Tons,22508.94,Punjab
Wheat,Standard,Tamil Nadu,Zaid,2010,25.18,25.47,Tons,59789.28,Tamil Nadu
Cotton,High Yield,Tamil Nadu,Rabi,2004,14.97,14.85,Tons,28473.75,Tamil Nadu
Oilseeds,Standard,Andhra Pradesh,Zaid,2009,8.42,8.5,Tons,15469.76,Andhra Pradesh
Rice,Standard,Punjab,Zaid,2013,39.07,42.43,Tons,91916.74,Punjab
Sugarcane,Standard,Madhya Pradesh,Kharif,2005,54.4,52.04,Tons,87558.9,Madhya Pradesh
Soybean,High Yield,Rajasthan,Kharif,2013,7.45,8.58,Tons,14291.73,Rajasthan
Pulses,Hybrid,Maharashtra,Kharif,2007,6.96,7.9,Tons,13227.33,Maharashtra
Maize,Standard,Karnataka,Zaid,2013,17.46,15.51,Tons,29280.26,Karnataka
Rice,Standard,Rajasthan,Zaid,2008,29.65,26.29,Tons,63157.03,Rajasthan
Oilseeds,High Yield,Uttar Pradesh,Rabi,2001,14.7,14.65,Tons,29625.41,Uttar Pradesh
Rice,Standard,Andhra Pradesh,Zaid,2003,33.18,27.01,Tons,74584.83,Andhra Pradesh
Soybean,High Yield,Karnataka,Rabi,2011,10.11,10.01,Tons,17922.52,Karnataka
Cotton,Standard,Madhya Pradesh,Rabi,2012,12.98,13.25,Tons,27981.76,Madhya Pradesh
Wheat,Hybrid,Andhra Pradesh,Zaid,2006,29.64,30.03,Tons,45912.14,Andhra Pradesh
Sugarcane,Standard,Karnataka,Kharif,2001,66.4,68.86,Tons,131517.23,Karnataka
Jute,Organic,Uttar Pradesh,Rabi,2008,29.29,29.54,Tons,65424.04,Uttar Pradesh
Pulses,Hybrid,Punjab,Zaid,2011,8.84,9.54,Tons,20659.37,Punjab
Jute,Standard,Gujarat,Zaid,2011,15.96,18.9,Tons,38008.76,Gujarat
Oilseeds,Standard,Uttar Pradesh,Zaid,2007,10.24,11.23,Tons,18786.8,Uttar Pradesh
Wheat,High Yield,Gujarat,Rabi,2014,42.44,38.83,Tons,63938.36,Gujarat
Rice,Organic,Madhya Pradesh,Kharif,2008,34.67,39.09,Tons,52316.99,Madhya Pradesh
Maize,Standard,Uttar Pradesh,Rabi,2007,32.33,30.93,Tons,75654.22,Uttar Pradesh
Sugarcane,Organic,Haryana,Rabi,2004,86.62,93.84,Tons,196705.06,Haryana
Maize,Hybrid,Punjab,Rabi,2010,30.88,36.73,Tons,73228.51,Punjab
Soybean,Organic,Uttar Pradesh,Kharif,2012,10.44,9.9,Tons,24227.9,Uttar Pradesh
Cotton,Standard,Rajasthan,Zaid,2010,7.61,7.38,Tons,18992.72,Rajasthan
Oilseeds,High Yield,Tamil Nadu,Zaid,2007,10.67,8.88,Tons,18353.2,Tamil Nadu
Soybean,Organic,Haryana,Zaid,2011,11.35,11.05,Tons,18743.78,Haryana
Sugarcane,Standard,Karnataka,Zaid,2004,57.35,53.04,Tons,111392.97,Karnataka
Jute,High Yield,Haryana,Zaid,2002,18.2,19.77,Tons,43104.94,Haryana
Wheat,High Yield,Andhra Pradesh,Rabi,2009,33.78,33.15,Tons,55857.18,Andhra Pradesh
Wheat,High Yield,Gujarat,Zaid,2003,27.39,32.0,Tons,41980.03,Gujarat
Cotton,Standard,Gujarat,Rabi,2009,12.85,13.81,Tons,20888.5,Gujarat
Soybean,Hybrid,Madhya Pradesh,Rabi,2009,8.61,7.81,Tons,17916.82,Madhya Pradesh
Pulses,High Yield,Andhra Pradesh,Zaid,2013,5.46,5.23,Tons,8589.19,Andhra Pradesh
Maize,Standard,Madhya Pradesh,Kharif,2012,25.25,27.77,Tons,56169.38,Madhya Pradesh
Oilseeds,Hybrid,Punjab,Kharif,2014,13.35,11.8,Tons,26456.45,Punjab
Rice,High Yield,Rajasthan,Rabi,2012,37.6,35.35,Tons,59701.76,Rajasthan
Rice,Organic,Gujarat,Rabi,2006,43.07,46.33,Tons,89042.85,Gujarat
Wheat,Hybrid,Maharashtra,Rabi,2007,33.93,36.74,Tons,72494.97,Maharashtra
Maize,Organic,Madhya Pradesh,Rabi,2009,25.59,30.04,Tons,46029.71,Madhya Pradesh
Pulses,Standard,Maharashtra,Rabi,2004,9.1,9.68,Tons,18050.8,Maharashtra
Soybean,Standard,Haryana,Rabi,2006,13.67,11.83,Tons,21064.0,Haryana
Wheat,High Yield,Haryana,Zaid,2012,34.78,32.4,Tons,73590.65,Haryana
Soybean,High Yield,Andhra Pradesh,Kharif,2007,10.48,10.71,Tons,20933.34,Andhra Pradesh
Wheat,Hybrid,Uttar Pradesh,Rabi,2005,46.79,38.96,Tons,93262.94,Uttar Pradesh
Cotton,Standard,Uttar Pradesh,Kharif,2013,12.37,12.19,Tons,21746.79,Uttar Pradesh
Sugarcane,Hybrid,Rajasthan,Kharif,2008,61.8,68.42,Tons,138141.19,Rajasthan
Pulses,Hybrid,Maharashtra,Kharif,2003,8.21,7.87,Tons,12558.38,Maharashtra
Soybean,Hybrid,Maharashtra,Zaid,2002,7.81,8.1,Tons,13880.81,Maharashtra
Maize,Hybrid,Uttar Pradesh,Kharif,2002,33.02,36.67,Tons,57322.77,Uttar Pradesh
Soybean,Standard,Tamil Nadu,Rabi,2012,13.18,15.05,Tons,22160.96,Tamil Nadu
Oilseeds,Hybrid,Haryana,Kharif,2014,15.36,12.87,Tons,33212.17,Haryana
Rice,Standard,Madhya Pradesh,Kharif,2012,39.87,41.28,Tons,60159.39,Madhya Pradesh
Pulses,Organic,Gujarat,Kharif,2007,8.1,7.91,Tons,19306.95,Gujarat
Jute,High Yield,Rajasthan,Rabi,2009,18.42,21.72,Tons,38451.15,Rajasthan
Oilseeds,High Yield,Haryana,Kharif,2011,14.36,15.97,Tons,29191.66,Haryana
Pulses,Hybrid,Andhra Pradesh,Zaid,2006,6.48,7.74,Tons,9936.35,Andhra Pradesh
Oilseeds,High Yield,Karnataka,Rabi,2013,11.12,13.05,Tons,21705.29,Karnataka
Sugarcane,Standard,Punjab,Kharif,2003,96.14,95.37,Tons,182410.36,Punjab
Wheat,High Yield,Madhya Pradesh,Rabi,2013,35.48,35.79,Tons,62244.74,Madhya Pradesh
Groundnut,High Yield,Haryana,Zaid,2014,13.4,14.64,Tons,32683.68,Haryana
Pulses,Organic,Maharashtra,Kharif,2001,8.41,9.65,Tons,16355.19,Maharashtra
Maize,Organic,Maharashtra,Kharif,2007,28.33,28.3,Tons,61861.47,Maharashtra
Rice,High Yield,Rajasthan,Zaid,2008,23.37,25.14,Tons,56806.31,Rajasthan
Rice,High Yield,Punjab,Zaid,2014,43.68,41.04,Tons,90739.35,Punjab
Wheat,High Yield,Maharashtra,Rabi,2009,37.42,41.65,Tons,88724.94,Maharashtra
Oilseeds,Standard,Gujarat,Rabi,2013,13.77,15.46,Tons,29840.3,Gujarat
Wheat,High Yield,Madhya Pradesh,Zaid,2003,27.6,28.09,Tons,44722.35,Madhya Pradesh
Oilseeds,Hybrid,Karnataka,Zaid,2001,9.42,8.97,Tons,19438.63,Karnataka
Oilseeds,Organic,Punjab,Kharif,2001,14.32,14.92,Tons,22533.86,Punjab
Jute,Organic,Maharashtra,Rabi,2009,22.28,25.37,Tons,54617.96,Maharashtra
Sugarcane,High Yield,Rajasthan,Kharif,2012,57.69,58.47,Tons,120013.44,Rajasthan
Groundnut,Hybrid,Haryana,Rabi,2002,23.44,20.59,Tons,35592.77,Haryana
Groundnut,Hybrid,Karnataka,Zaid,2009,12.86,15.1,Tons,20065.75,Karnataka
Maize,High Yield,Uttar Pradesh,Rabi,2014,34.16,36.49,Tons,69112.18,Uttar Pradesh
Cotton,Standard,Andhra Pradesh,Rabi,2004,14.06,13.57,Tons,24915.93,Andhra Pradesh
Oilseeds,Standard,Tamil Nadu,Zaid,2012,10.99,10.09,Tons,18507.76,Tamil Nadu
Rice,Hybrid,Rajasthan,Kharif,2010,38.72,43.46,Tons,76806.57,Rajasthan
Rice,Organic,Andhra Pradesh,Kharif,2010,45.42,51.22,Tons,95448.57,Andhra Pradesh
Maize,Organic,Madhya Pradesh,Rabi,2009,25.57,29.05,Tons,48872.71,Madhya Pradesh
Pulses,Organic,Andhra Pradesh,Kharif,2010,8.67,9.79,Tons,15393.36,Andhra Pradesh
Groundnut,Organic,Rajasthan,Kharif,2002,13.22,13.68,Tons,25809.71,Rajasthan
Rice,Organic,Uttar Pradesh,Rabi,2001,53.36,49.35,Tons,89562.0,Uttar Pradesh
Cotton,High Yield,Tamil Nadu,Zaid,2010,9.75,9.74,Tons,20421.35,Tamil Nadu
Wheat,Standard,Uttar Pradesh,Zaid,2005,32.64,35.48,Tons,62927.82,Uttar Pradesh
Rice,Hybrid,Tamil Nadu,Rabi,2003,49.31,44.85,Tons,102483.88,Tamil Nadu
Soybean,Hybrid,Andhra Pradesh,Kharif,2001,9.08,8.08,Tons,16548.19,Andhra Pradesh
Oilseeds,Hybrid,Tamil Nadu,Kharif,2001,10.97,9.8,Tons,25224.73,Tamil Nadu
Sugarcane,Standard,Andhra Pradesh,Rabi,2008,81.16,79.76,Tons,140475.91,Andhra Pradesh
Maize,Hybrid,Haryana,Rabi,2007,36.04,39.37,Tons,74170.68,Haryana
Soybean,Standard,Andhra Pradesh,Rabi,2012,12.51,13.46,Tons,20958.31,Andhra Pradesh
Oilseeds,Standard,Tamil Nadu,Rabi,2014,13.65,12.82,Tons,30804.85,Tamil Nadu
Pulses,High Yield,Gujarat,Zaid,2014,6.24,5.04,Tons,15431.56,Gujarat
Soybean,Standard,Andhra Pradesh,Kharif,2009,10.06,8.41,Tons,21369.38,Andhra Pradesh
Groundnut,Standard,Punjab,Kharif,2012,17.51,14.83,Tons,27365.24,Punjab
Groundnut,High Yield,Maharashtra,Kharif,2002,13.14,13.43,Tons,32032.33,Maharashtra
Cotton,Standard,Gujarat,Rabi,2007,14.96,17.47,Tons,30150.91,Gujarat
Maize,Organic,Karnataka,Rabi,2012,25.32,26.61,Tons,51644.27,Karnataka
Pulses,Standard,Rajasthan,Rabi,2014,6.68,7.53,Tons,11427.53,Rajasthan
Sugarcane,Standard,Uttar Pradesh,Rabi,2011,84.74,87.21,Tons,208230.08,Uttar Pradesh
Jute,High Yield,Madhya Pradesh,Rabi,2009,21.95,21.84,Tons,53180.41,Madhya Pradesh
Maize,High Yield,Gujarat,Zaid,2003,24.15,20.49,Tons,52308.35,Gujarat
Sugarcane,High Yield,Maharashtra,Kharif,2004,71.04,69.12,Tons,175172.3,Maharashtra
Soybean,Organic,Maharashtra,Kharif,2012,10.42,10.92,Tons,17885.37,Maharashtra
Groundnut,High Yield,Uttar Pradesh,Zaid,2003,15.61,12.85,Tons,30598.15,Uttar Pradesh
Wheat,Organic,Andhra Pradesh,Zaid,2009,25.81,21.9,Tons,42385.0,Andhra Pradesh
Cotton,Hybrid,Tamil Nadu,Kharif,2004,14.48,15.14,Tons,33500.54,Tamil Nadu
Soybean,Standard,Gujarat,Rabi,2007,10.76,10.54,Tons,25678.62,Gujarat
Cotton,Standard,Tamil Nadu,Zaid,2012,11.07,12.26,Tons,24727.17,Tamil Nadu
